

02/10/08    03:26:30      22:47:40
14b6 1b39 000a 000d 01a4 0001 000a 001e 0014
03:26:30     1
a698 a64a a689 a6c1 a6a1 a6a7 a63f a649 a679 a66b a6b4 a849 ba1c 8003 31.5   11.964
03:26:40     2
a69a a64f a690 a6c8 a6aa a6af a64a a652 a67f a66f a6b6 a848 ba4f 8003 35.2   11.948
03:26:50     3
a699 a650 a692 a6cb a6ab a6b2 a64f a656 a681 a670 a6b6 a846 ba7f 8003 32.2   11.925
03:27:00     4
a696 a64e a692 a6cb a6ac a6b5 a652 a659 a682 a671 a6b8 a849 baac 8003 29.7   11.897
03:27:10     5
a699 a651 a696 a6ce a6ad a6b6 a655 a65b a685 a673 a6ba a850 bad5 8003 30.6   11.863
03:27:20     6
a69b a653 a698 a6cf a6af a6b7 a655 a659 a683 a674 a6bc a850 bafc 8003 30.9   11.840
03:27:30     7
a69b a653 a698 a6ce a6af a6b6 a654 a657 a682 a675 a6bd a84d bb20 8003 34.4   11.817
03:27:40     8
a695 a64e a693 a6ca a6aa a6b3 a652 a655 a680 a673 a6bc a84a bb41 8003 33.8   11.806
03:27:50     9
a690 a64a a691 a6c9 a6a9 a6b3 a651 a657 a681 a673 a6ba a849 bb60 8003 29.9   11.794
03:28:00    10
a691 a64b a694 a6cd a6af a6bb a658 a660 a689 a67b a6c1 a84c bb7d 8003 33.7   11.783
03:28:10    11
a696 a64f a699 a6d3 a6b7 a6c2 a663 a66b a692 a685 a6c9 a84e bb99 8003 34.3   11.738
03:28:20    12
a698 a651 a69c a6d6 a6bb a6c6 a669 a671 a697 a689 a6cd a84a bbb2 8003 33.9   11.744
03:28:30    13
a698 a654 a6a0 a6db a6c0 a6ca a66e a676 a69b a68b a6ce a847 bbca 8003 31.8   11.698
03:28:40    14
a69b a658 a6a4 a6de a6c2 a6cb a670 a678 a69d a68d a6d0 a842 bbe0 8003 31.9   11.697
03:28:50    15
a69e a65b a6a7 a6e0 a6c4 a6cc a670 a677 a69c a68d a6d2 a83f bbf5 8003 32.7   11.682
03:29:00    16
a698 a656 a6a2 a6dd a6c0 a6c8 a66f a676 a69b a68b a6d0 a842 bc09 8003 32.9   11.674
03:29:10    17
a694 a652 a6a0 a6dc a6c0 a6c8 a66f a678 a69d a68c a6d3 a844 bc1c 8003 31.8   11.640
03:29:20    18
a695 a653 a6a6 a6e0 a6c6 a6ce a670 a677 a69d a68d a6d2 a846 bc2d 8003 35.5   11.634
03:29:30    19
a696 a655 a6a7 a6e2 a6c5 a6ce a671 a678 a69c a68c a6cf a844 bc3e 8003 29.3   11.634
03:29:40    20
a696 a656 a6a7 a6e2 a6c5 a6cd a66f a678 a698 a686 a6c9 a849 bc4e 8003 33.6   11.612
03:29:50    21
a693 a653 a6a6 a6e0 a6c2 a6ca a66b a676 a696 a685 a6c8 a874 bc5c 8003 32.1   11.584
03:30:00    22
a698 a658 a6ac a6e2 a6c5 a6cc a66c a678 a699 a689 a6cd a88d bc6a 8003 31.4   11.595
03:30:10    23
a69d a65e a6b0 a6e7 a6c9 a6cf a66e a679 a699 a68c a6cf a899 bc78 8003 35.2   11.589
03:30:20    24
